-0.358406 0     0.0514126 0
-0.404853 0.00260951     0.0512208 8.49736e-05
-0.404882 0.00258999     0.0512203 8.43337e-05
-0.404662 0.00258     0.0512231 8.37482e-05
-0.404901 0.00257194     0.0512296 8.33752e-05
-0.404709 0.00256019     0.0512242 8.29353e-05
-0.404561 0.00254571     0.0512085 8.38135e-05
-0.404413 0.00253157     0.0512035 8.33509e-05
-0.40447 0.00251396     0.0512035 8.27491e-05
-0.404423 0.00249639     0.0512168 8.32181e-05
-0.404326 0.00248052     0.0512083 8.3057e-05
-0.404472 0.00246732     0.0512084 8.247e-05
-0.404719 0.00246243     0.0512178 8.24189e-05
-0.404675 0.00244566     0.0512098 8.22326e-05
-0.404475 0.00243699     0.0512047 8.18207e-05
-0.404359 0.00242303     0.05121 8.143e-05
-0.404265 0.0024083     0.0511981 8.17429e-05
-0.404155 0.00239451     0.0511903 8.15603e-05
-0.40403 0.00238167     0.0511829 8.13468e-05
-0.404151 0.00236883     0.0511856 8.08463e-05
-0.403865 0.00237047     0.0511786 8.06149e-05
-0.403534 0.00237798     0.0511622 8.17333e-05
-0.403424 0.0023649     0.0511654 8.12601e-05
-0.403303 0.00235265     0.0511627 8.07776e-05
-0.403142 0.0023429     0.051172 8.07966e-05
-0.403188 0.00232828     0.0511647 8.06096e-05
-0.403189 0.0023134     0.051167 8.0127e-05
-0.403269 0.00230009     0.0511723 7.97922e-05
-0.403257 0.00228561     0.0511644 7.96737e-05
-0.403086 0.00227769     0.051161 7.92492e-05
-0.403191 0.00226594     0.0511539 7.90757e-05
-0.403134 0.00225263     0.0511591 7.87574e-05
-0.402778 0.00226684     0.0511499 7.88115e-05
-0.402508 0.00226915     0.0511515 7.83456e-05
-0.402407 0.0022576     0.0511526 7.78772e-05
-0.402426 0.00224405     0.0511489 7.74946e-05
-0.402365 0.00223141     0.0511493 7.70302e-05
-0.402684 0.00224089     0.0511607 7.74243e-05
-0.402956 0.00224409     0.0511762 7.85036e-05
-0.403015 0.00223165     0.0511819 7.82483e-05
-0.402973 0.00221897     0.0511843 7.78273e-05
-0.402835 0.00221034     0.0511881 7.74642e-05
-0.402727 0.00220018     0.0511854 7.70628e-05
-0.402536 0.00219577     0.0511828 7.6661e-05
-0.40258 0.00218362     0.0511758 7.65411e-05
-0.402488 0.00217313     0.0511658 7.67695e-05
-0.402434 0.00216149     0.0511594 7.65972e-05
-0.40272 0.00216826     0.0511624 7.62243e-05
-0.403047 0.00218078     0.0511737 7.66291e-05
-0.403088 0.00216901     0.0511755 7.6223e-05
-0.40332 0.00216944     0.0511771 7.58195e-05
-0.403416 0.00215963     0.0511789 7.54219e-05
-0.403568 0.00215319     0.0511805 7.5027e-05
-0.403658 0.00214333     0.0511807 7.46183e-05
-0.403818 0.00213771     0.0511881 7.45819e-05
-0.403997 0.00213375     0.0511837 7.43098e-05
-0.403798 0.00213164     0.0511855 7.39322e-05
-0.403676 0.00212378     0.0511784 7.38776e-05
-0.403738 0.00211343     0.0511708 7.38742e-05
-0.403964 0.00211433     0.051181 7.41772e-05
-0.404178 0.00211417     0.0511886 7.4185e-05
-0.404321 0.00210794     0.0511979 7.43829e-05
-0.404578 0.00211276     0.0511968 7.40056e-05
-0.404606 0.00210202     0.0512005 7.37191e-05
-0.404596 0.00209124     0.0512017 7.33497e-05
-0.404508 0.00208241     0.0511931 7.34815e-05
-0.404527 0.0020719     0.0511984 7.32952e-05
-0.404542 0.00206147     0.051197 7.29369e-05
-0.404408 0.00205541     0.0511897 7.29347e-05
-0.404324 0.00204685     0.0511843 7.27662e-05
-0.404166 0.00204277     0.0511797 7.25536e-05
-0.403944 0.00204475     0.0511836 7.23009e-05
-0.40404 0.00203694     0.0511869 7.20171e-05
-0.404193 0.00203269     0.0511853 7.16792e-05
-0.404325 0.00202703     0.051194 7.18506e-05
-0.404104 0.00202921     0.0511922 7.15228e-05
-0.404027 0.00202087     0.0511866 7.13956e-05
-0.403982 0.00201161     0.051189 7.10922e-05
-0.404002 0.00200206     0.0511827 7.10352e-05
-0.40405 0.00199309     0.0511884 7.0923e-05
-0.403843 0.00199444     0.0511868 7.06024e-05
-0.403793 0.00198564     0.0511879 7.0276e-05
-0.403736 0.00197713     0.051183 7.01134e-05
-0.403694 0.0019683     0.0511888 7.00218e-05
-0.403809 0.00196248     0.0511904 6.97146e-05
-0.403829 0.00195347     0.051192 6.94087e-05
-0.403971 0.00194966     0.0511893 6.91397e-05
-0.404007 0.00194103     0.0511959 6.91369e-05
-0.404105 0.00193461     0.0512019 6.90803e-05
-0.404097 0.00192582     0.0512047 6.88239e-05
-0.404346 0.00193311     0.051208 6.85928e-05
-0.404191 0.00193057     0.0512142 6.85634e-05
-0.403968 0.0019348     0.0512022 6.93051e-05
-0.403904 0.00192723     0.0512084 6.92727e-05
-0.403882 0.00191877     0.0512157 6.93447e-05
-0.403949 0.00191144     0.0512122 6.91239e-05
-0.403898 0.00190368     0.0512171 6.89952e-05
-0.403838 0.00189627     0.0512173 6.86921e-05
-0.404041 0.00189883     0.0512221 6.85593e-05
-0.404218 0.00189882     0.0512357 6.95968e-05
-0.404346 0.0018949     0.0512434 6.97308e-05
-0.404317 0.00188695     0.0512448 6.94428e-05
-0.404274 0.00187932     0.051239 6.93876e-05
-0.404197 0.00187286     0.051237 6.91204e-05
-0.404245 0.00186549     0.0512389 6.88523e-05
-0.404145 0.00186025     0.0512302 6.91112e-05
-0.403892 0.00186949     0.0512272 6.88834e-05
-0.403787 0.00186457     0.0512282 6.8601e-05
-0.403893 0.00185974     0.0512294 6.83244e-05
-0.403942 0.00185264     0.0512343 6.82138e-05
-0.403961 0.00184503     0.0512335 6.79353e-05
-0.403927 0.00183769     0.0512324 6.76623e-05
-0.403784 0.00183571     0.0512237 6.79389e-05
-0.40385 0.00182936     0.0512228 6.7667e-05
-0.403878 0.00182209     0.0512215 6.74026e-05
-0.403899 0.00181479     0.0512238 6.7169e-05
-0.403905 0.00180744     0.0512205 6.69787e-05
-0.403822 0.00180206     0.0512147 6.69576e-05
-0.403711 0.00179825     0.0512152 6.66896e-05
-0.403682 0.00179127     0.0512121 6.64923e-05
-0.403662 0.00178423     0.0512072 6.64115e-05
-0.403584 0.00177884     0.0511989 6.66597e-05
-0.40346 0.00177612     0.0511948 6.65261e-05
-0.403481 0.00176923     0.0511873 6.66788e-05
-0.403633 0.00176888     0.0511901 6.64761e-05
-0.403765 0.0017669     0.0511885 6.62364e-05
-0.403848 0.00176195     0.0511965 6.64568e-05
-0.403809 0.00175555     0.0511918 6.63641e-05
