-5.0346 0     2.03351 0
-5.02996 0.000893278     2.10687 0.00469805
-5.02997 0.00088692     2.10668 0.00466831
-5.03 0.000881298     2.10696 0.00464408
-5.0301 0.000880668     2.10659 0.00462643
-5.03011 0.000874653     2.10642 0.00459738
-5.03023 0.000876264     2.10604 0.00458187
-5.03017 0.00087192     2.10668 0.0045963
-5.03029 0.000873466     2.10592 0.00462909
-5.03038 0.00087257     2.10551 0.00461591
-5.0304 0.000866931     2.10515 0.00459832
-5.03041 0.000861174     2.10511 0.0045678
-5.03037 0.000856334     2.10509 0.00453747
-5.03032 0.000852071     2.10536 0.00451549
-5.03026 0.000848898     2.10588 0.00451593
-5.03011 0.000857138     2.10637 0.00451273
-5.03012 0.00085178     2.10611 0.00449094
-5.03019 0.000848543     2.10568 0.00448269
-5.03021 0.000843525     2.1054 0.00446301
-5.03023 0.000838308     2.10555 0.0044373
-5.03025 0.000833338     2.10538 0.00441261
-5.03026 0.000828166     2.10503 0.0043984
-5.03029 0.00082347     2.10503 0.00437099
-5.03033 0.00081949     2.10478 0.00435132
-5.03031 0.00081474     2.10482 0.00432471
-5.03035 0.000810608     2.10462 0.00430282
-5.03034 0.000805738     2.10465 0.00427676
-5.03028 0.000802852     2.1049 0.00425844
-5.03032 0.000798848     2.10496 0.00423327
-5.03031 0.000794089     2.1051 0.00421018
-5.0303 0.000789505     2.10523 0.00418718
-5.0303 0.000784847     2.10528 0.00416288
-5.0304 0.000786519     2.10472 0.00417732
-5.0303 0.000787275     2.10504 0.00416527
-5.03035 0.000783919     2.10471 0.00415403
-5.03052 0.000798975     2.10397 0.00419483
-5.03051 0.000794582     2.10397 0.0041708
-5.03047 0.000790775     2.10398 0.00414704
-5.03056 0.000791159     2.10381 0.00412691
-5.03062 0.000788952     2.10348 0.00411666
-5.03067 0.000786388     2.1033 0.00409754
-5.03068 0.000782012     2.10314 0.0040782
-5.03065 0.000778008     2.10352 0.00407354
-5.03063 0.000774026     2.10357 0.00405147
-5.0306 0.000770417     2.10369 0.00403098
-5.03065 0.000767949     2.10346 0.0040155
-5.03062 0.000764492     2.10356 0.00399497
-5.03065 0.000760999     2.10346 0.00397473
-5.0306 0.000758624     2.10373 0.00396289
-5.03062 0.000754758     2.1039 0.00394523
-5.03054 0.000754909     2.10431 0.00394573
-5.03058 0.000752081     2.10371 0.00397077
-5.03063 0.000749566     2.10334 0.0039666
-5.03057 0.00074765     2.10357 0.00395228
-5.03064 0.000746881     2.10333 0.00393891
-5.03059 0.000744498     2.10379 0.00394478
-5.0306 0.000740712     2.10384 0.00392481
-5.03067 0.000739827     2.10357 0.00391401
-5.03066 0.00073612     2.10317 0.00391418
-5.03059 0.000735835     2.1034 0.00390083
-5.03061 0.000732529     2.10318 0.00388709
-5.03051 0.000735926     2.1038 0.00391681
-5.03047 0.000733045     2.10382 0.00389736
-5.03045 0.000729932     2.10371 0.00387959
-5.03043 0.000726563     2.10386 0.00386309
-5.03041 0.000723251     2.10416 0.00385604
-5.03039 0.00071986     2.10424 0.00383803
-5.03045 0.000718888     2.10381 0.00384351
-5.03052 0.000718524     2.1036 0.00383083
-5.03056 0.000716111     2.10345 0.00381518
-5.03057 0.00071273     2.10312 0.00381117
-5.03057 0.000709328     2.10327 0.00379593
-5.03058 0.000706088     2.10341 0.00378034
-5.03052 0.000705217     2.10383 0.00378637
-5.03054 0.000702201     2.104 0.00377245
-5.03059 0.000700509     2.10359 0.00377694
-5.03052 0.000700527     2.10395 0.00377567
-5.0305 0.000697808     2.10417 0.00376487
-5.03048 0.000694707     2.10425 0.00374842
-5.0304 0.000695834     2.10446 0.00373658
-5.03039 0.000692855     2.10462 0.00372307
-5.03047 0.000694088     2.1041 0.00374199
-5.03049 0.000691468     2.10388 0.00373133
-5.03047 0.000688832     2.10408 0.0037195
-5.03047 0.00068574     2.10417 0.00370391
-5.03049 0.00068307     2.10408 0.00368848
-5.0305 0.000680037     2.1039 0.00367643
-5.03046 0.000678018     2.10406 0.0036635
-5.03053 0.000678259     2.10385 0.00365319
-5.0305 0.000675741     2.10402 0.00364123
-5.03055 0.000674867     2.10376 0.0036344
-5.03053 0.000672367     2.10369 0.00361927
-5.03053 0.000669455     2.10373 0.00360372
-5.03055 0.000666751     2.10372 0.00358816
-5.03051 0.000665054     2.10402 0.00358527
-5.03053 0.0006625     2.10396 0.00357037
-5.03056 0.000660705     2.10383 0.00355759
-5.03058 0.00065813     2.10377 0.003543
-5.03058 0.000655368     2.10389 0.00353005
-5.03064 0.000655327     2.10384 0.00351546
-5.03065 0.000652835     2.10402 0.00350536
-5.03068 0.00065049     2.10399 0.0034909
-5.03073 0.000649781     2.10381 0.0034809
-5.03077 0.000648762     2.10359 0.0034736
-5.03072 0.000648127     2.10402 0.00348644
-5.03078 0.000647892     2.1036 0.00349809
-5.03074 0.000646564     2.10373 0.00348608
-5.03077 0.000644622     2.10356 0.00347562
-5.03076 0.000642017     2.10349 0.00346237
-5.03074 0.000639872     2.10348 0.00344838
-5.03078 0.000638741     2.10329 0.00344009
-5.03077 0.000636405     2.10353 0.0034346
-5.03077 0.00063389     2.10374 0.00342763
-5.03082 0.000632984     2.10383 0.00341512
-5.03083 0.000630571     2.10383 0.0034016
-5.03083 0.000628084     2.10404 0.0033945
-5.03082 0.000625619     2.10405 0.0033812
-5.03083 0.000623173     2.1041 0.00336833
-5.03085 0.000621224     2.10434 0.00336358
-5.0308 0.00062088     2.10473 0.00337266
-5.03087 0.000622395     2.10458 0.003363
-5.0309 0.000620606     2.10433 0.00335879
-5.03089 0.000618237     2.10449 0.00334964
-5.03087 0.000616249     2.10471 0.00334377
-5.03085 0.00061436     2.10467 0.00333122
-5.03087 0.000612369     2.1046 0.00331945
-5.0309 0.000610812     2.10444 0.00331049
-5.03085 0.000610591     2.10474 0.00331141
-5.03084 0.000608343     2.1048 0.0032995
-5.03086 0.000606278     2.10469 0.00328889
-5.03085 0.000604104     2.1046 0.00327786
-5.03082 0.00060258     2.10495 0.00328373
-5.03079 0.000600809     2.10499 0.00327186
-5.0308 0.000598605     2.10516 0.00326465
-5.03083 0.000597176     2.10495 0.00325958
-5.03089 0.000598565     2.10476 0.00325325
-5.03094 0.000597949     2.10439 0.00326214
-5.0309 0.000596997     2.10467 0.00326219
-5.03091 0.000595044     2.10488 0.00325688
-5.03093 0.000593202     2.10474 0.00324795
-5.03096 0.00059171     2.10453 0.00324317
-5.03098 0.000590032     2.10435 0.00323665
-5.03099 0.000588038     2.10418 0.0032298
-5.03099 0.000585952     2.10406 0.00322036
-5.03101 0.0005842     2.10403 0.0032091
-5.03101 0.000582178     2.10403 0.00319779
-5.03101 0.000580132     2.10405 0.00318662
-5.03099 0.000578274     2.10406 0.00317549
-5.03097 0.000576818     2.10408 0.00316444
-5.03098 0.000574881     2.10383 0.00316336
-5.03099 0.000573032     2.10375 0.0031533
-5.03095 0.000572068     2.10386 0.0031444
-5.03094 0.000570343     2.1037 0.00313762
-5.0309 0.000569849     2.10383 0.00312958
-5.03095 0.000570454     2.10361 0.00312706
-5.03098 0.000569237     2.10336 0.00312643
-5.03101 0.000568354     2.10323 0.0031183
-5.03096 0.000568908     2.10354 0.0031228
-5.0309 0.000570041     2.10379 0.00312238
-5.03086 0.000569327     2.10373 0.00311241
-5.03085 0.000567665     2.10373 0.00310198
-5.03087 0.000566082     2.1036 0.00309454
-5.0308 0.00056867     2.10394 0.00310389
-5.03075 0.000568402     2.10413 0.00309916
-5.03073 0.000567136     2.10421 0.00308984
-5.03077 0.000566685     2.10389 0.00309619
-5.03072 0.000566391     2.10409 0.00309259
-5.03073 0.000564551     2.10404 0.00308288
-5.03065 0.000568331     2.10464 0.00313099
-5.03069 0.000568021     2.10448 0.00312504
-5.03069 0.000566188     2.10449 0.00311494
-5.03073 0.000565403     2.10457 0.00310595
-5.03069 0.000564696     2.10481 0.00310486
-5.03071 0.000563162     2.10474 0.00309571
-5.03072 0.000561397     2.10475 0.00308582
-5.03071 0.000559654     2.10488 0.0030788
-5.0307 0.000557898     2.10494 0.00306968
-5.03069 0.000556373     2.10492 0.00306
-5.03072 0.000555332     2.10472 0.00305727
-5.0307 0.000553755     2.10473 0.00304766
-5.03067 0.000552719     2.10475 0.0030382
-5.0307 0.000551431     2.10476 0.0030287
-5.03069 0.000549731     2.1049 0.00302253
-5.03071 0.000548457     2.1047 0.00301994
-5.03068 0.000547835     2.10492 0.003019
-5.03065 0.000547185     2.10505 0.00301215
-5.03064 0.000545507     2.10501 0.00300309
-5.03064 0.000543835     2.10497 0.00299409
-5.03062 0.000542628     2.10498 0.00298492
-5.03063 0.000540989     2.10505 0.00297663
-5.0306 0.000539903     2.10505 0.00296757
-5.03063 0.000538806     2.10504 0.00295857
-5.0306 0.000538019     2.10503 0.00294963
-5.03063 0.000537238     2.10483 0.00294803
-5.03069 0.000539969     2.10454 0.00295357
-5.03071 0.000538588     2.10452 0.00294477
-5.03074 0.000538001     2.10434 0.0029413
-5.03071 0.000537787     2.1046 0.00294431
-5.03066 0.000537793     2.10477 0.00294026
-5.03063 0.000537203     2.10495 0.00293692
-5.03065 0.000536099     2.10484 0.00293017
-5.03065 0.000534521     2.10475 0.00292298
-5.03066 0.000533036     2.10479 0.00291465
-5.03068 0.000531696     2.10461 0.0029118
-5.03067 0.000530205     2.1045 0.00290513
-5.03066 0.000528684     2.1044 0.00289868
-5.03066 0.000527149     2.10441 0.00289029
-5.03065 0.000525769     2.10444 0.00288206
-5.03062 0.00052536     2.10446 0.00287384
-5.03067 0.000526711     2.10416 0.00288119
-5.0307 0.000525984     2.10408 0.00287402
-5.03069 0.000524662     2.10419 0.0028678
-5.03065 0.000524253     2.10434 0.0028635
-5.03059 0.00052716     2.10469 0.00287666
-5.03058 0.000525672     2.10483 0.00287224
-5.0306 0.000524388     2.10484 0.00286412
-5.03059 0.000522959     2.10496 0.00285854
-5.0306 0.000521583     2.10497 0.00285052
-5.03061 0.000520323     2.1049 0.00284323
-5.0306 0.000519227     2.10486 0.00283556
-5.03055 0.000519467     2.10496 0.00282944
-5.03054 0.000518222     2.10503 0.00282248
-5.03053 0.000516853     2.10507 0.00281491
-5.03051 0.000515921     2.10514 0.0028079
-5.03052 0.000514732     2.10505 0.00280164
-5.03056 0.000514404     2.1048 0.00280506
-5.03058 0.000513679     2.10478 0.00279745
-5.03058 0.000512328     2.10476 0.00278986
-5.03056 0.000511176     2.10482 0.002783
-5.03055 0.000509864     2.10487 0.00277581
-5.03059 0.000509955     2.10462 0.00277926
-5.0306 0.000508701     2.10447 0.00277607
-5.03058 0.000507799     2.10451 0.00276887
-5.03055 0.000507222     2.10467 0.0027661
-5.03052 0.000507122     2.10478 0.00276102
-5.03049 0.000506513     2.10483 0.00275413
-5.03042 0.000509988     2.10521 0.00277288
-5.03044 0.000509093     2.10504 0.00277095
-5.03044 0.000507754     2.10516 0.00276637
-5.03048 0.000508159     2.10504 0.00276199
-5.03054 0.00051034     2.10476 0.00276809
-5.03054 0.000508996     2.10479 0.00276097
-5.03052 0.000508077     2.10472 0.00275467
-5.03051 0.000506832     2.10495 0.00275646
-5.03048 0.000506397     2.10509 0.00275289
-5.03051 0.000505893     2.10493 0.00274996
-5.03053 0.000505021     2.10487 0.0027436
