-6.66288 0     9.57917 0
-6.66554 0.000128615     9.57799 0.000687863
-6.66556 0.000129247     9.57792 0.000687044
-6.66557 0.000128694     9.57789 0.000682666
-6.66556 0.000128023     9.57789 0.000677886
-6.66557 0.000127401     9.57783 0.000676452
-6.66558 0.000127527     9.57767 0.000689964
-6.66557 0.000127559     9.57777 0.000691916
-6.66557 0.000126735     9.57772 0.000688678
-6.66558 0.000126285     9.57762 0.000690848
-6.66559 0.000125928     9.57747 0.000703495
-6.66559 0.000125089     9.57745 0.000698939
-6.6656 0.000124331     9.57742 0.000695028
-6.66561 0.000123793     9.57737 0.000692193
-6.6656 0.000123     9.57731 0.000690536
-6.66559 0.000122761     9.57732 0.000686058
-6.66559 0.000122008     9.57734 0.000682099
-6.66558 0.0001213     9.57739 0.000679489
-6.66559 0.000120802     9.57745 0.000677754
-6.66559 0.000120059     9.57742 0.000673949
-6.66559 0.00011933     9.57741 0.000669852
-6.6656 0.000119161     9.57738 0.000666181
-6.66561 0.000118726     9.57741 0.000662735
-6.6656 0.000118153     9.57745 0.000659633
-6.66559 0.000117976     9.57758 0.000667939
-6.66559 0.000117257     9.57757 0.000663898
-6.66559 0.000116609     9.57754 0.000660448
-6.66559 0.000115905     9.57751 0.0006571
-6.6656 0.00011544     9.57749 0.000653438
-6.66561 0.00011538     9.57751 0.000649691
-6.66561 0.000114735     9.5775 0.000645906
-6.66562 0.000114946     9.57741 0.000647625
-6.66561 0.000115047     9.57749 0.000647902
-6.6656 0.000114614     9.57747 0.00064447
-6.66559 0.000114583     9.57743 0.000641799
-6.6656 0.000114386     9.57733 0.000645509
-6.66559 0.000114006     9.57739 0.000644995
-6.6656 0.000113361     9.57741 0.000641492
-6.6656 0.000112819     9.57738 0.000638722
-6.66562 0.000113636     9.57726 0.000646372
-6.66562 0.000113013     9.5772 0.000645308
-6.66561 0.000112658     9.57717 0.000642239
-6.66563 0.000112906     9.57716 0.000638799
-6.66563 0.000112285     9.57712 0.000636308
-6.66564 0.000112063     9.57709 0.000633902
-6.66564 0.000111612     9.57709 0.000630474
-6.66564 0.000111008     9.57712 0.000627443
-6.66565 0.00011078     9.57716 0.000625655
-6.66565 0.000110245     9.57718 0.000622634
-6.66564 0.000109954     9.5772 0.00061963
-6.66564 0.000109549     9.57717 0.000616918
-6.66567 0.000111235     9.57711 0.00061647
-6.66568 0.000111192     9.57706 0.000615319
-6.66568 0.00011084     9.57706 0.00061212
-6.66568 0.000110318     9.57708 0.000609269
-6.66568 0.000109773     9.57705 0.000606689
-6.66569 0.000109257     9.577 0.000605844
-6.66569 0.000108752     9.57696 0.000604395
-6.66568 0.000108329     9.57701 0.000603544
-6.66569 0.000107816     9.577 0.000600616
-6.66568 0.000107883     9.57699 0.000597594
-6.66569 0.00010795     9.57699 0.00059461
-6.66569 0.00010764     9.5769 0.000598226
-6.66569 0.000107147     9.57692 0.00059563
-6.66568 0.000106833     9.57694 0.000592852
-6.66568 0.000106607     9.57696 0.00059026
-6.66568 0.000106089     9.57694 0.000587685
-6.66567 0.000105995     9.57698 0.000586608
-6.66567 0.000105531     9.57698 0.000583778
-6.66565 0.00010759     9.57709 0.000592355
-6.66565 0.000107093     9.57712 0.00059002
-6.66565 0.000106582     9.57719 0.00059094
-6.66564 0.000106491     9.57719 0.000588193
-6.66564 0.000106104     9.57722 0.000586189
-6.66563 0.000105692     9.57723 0.000583447
-6.66563 0.0001052     9.57722 0.000580773
-6.66564 0.000105613     9.57717 0.000580089
-6.66565 0.000105159     9.57716 0.000577609
-6.66565 0.000104706     9.57715 0.000574994
-6.66564 0.000104407     9.57719 0.000573983
-6.66565 0.000104031     9.57718 0.000571473
-6.66564 0.000103668     9.57724 0.000571614
-6.66564 0.000103207     9.57729 0.000571527
-6.66565 0.000102922     9.57731 0.000569352
-6.66565 0.000102461     9.57731 0.000566797
-6.66565 0.000102006     9.57733 0.000564531
-6.66565 0.000101553     9.57735 0.000562249
-6.66566 0.000101409     9.57731 0.000561055
-6.66566 0.000100968     9.57731 0.000558579
-6.66566 0.000100549     9.57726 0.00055857
-6.66566 0.000100114     9.57727 0.000556303
-6.66566 9.97055e-05     9.5773 0.000554441
-6.66567 9.97618e-05     9.5773 0.000552077
-6.66567 9.93317e-05     9.57728 0.000550018
-6.66566 9.89146e-05     9.57727 0.000547821
